date,close,open,high,low,volume
2021-3-16,8.961,9.099,9.142,8.909,36160
2021-3-17,9.066,8.936,9.157,8.921,24490
2021-3-18,9.056,9.122,9.142,8.986,22890
2021-3-19,9.057,8.987,9.079,8.843,27660
2021-3-22,9.109,9.014,9.129,8.988,25040
2021-3-23,8.980,9.135,9.145,8.871,35260
2021-3-24,8.978,8.889,9.040,8.881,28690
2021-3-25,8.780,8.908,8.922,8.702,48050
2021-3-26,8.962,8.810,8.983,8.806,21470
2021-3-29,8.865,8.977,8.988,8.838,19270
2021-3-30,8.774,8.900,8.924,8.748,23980
2021-3-31,8.786,8.785,8.850,8.724,26510
2021-4-1,8.790,8.783,8.824,8.696,27510
2021-4-6,9.047,8.931,9.104,8.931,39710
2021-4-7,8.916,9.049,9.064,8.892,33120
2021-4-8,9.008,8.943,9.025,8.908,24120
2021-4-9,8.927,9.010,9.046,8.901,19410
2021-4-12,8.861,8.937,8.937,8.800,25660
2021-4-13,8.900,8.865,8.952,8.826,21160
2021-4-14,9.075,8.905,9.104,8.893,37240
2021-4-15,9.284,9.073,9.313,9.054,53570
2021-4-16,9.211,9.319,9.352,9.166,38180
2021-4-19,9.376,9.164,9.434,9.151,46720
2021-4-20,9.322,9.342,9.480,9.282,27770
2021-4-21,9.445,9.282,9.472,9.280,32650
2021-4-22,9.401,9.458,9.467,9.384,24140
2021-4-23,9.552,9.408,9.558,9.408,32810
2021-4-26,9.751,9.551,9.780,9.544,50340
2021-4-27,9.856,9.794,9.964,9.784,45110
2021-4-28,9.876,9.866,9.896,9.719,34430
2021-4-29,9.885,9.905,10.007,9.828,42370
2021-4-30,9.825,9.880,9.964,9.788,31480
2021-5-4,9.966,9.924,9.975,9.879,27080
2021-5-5,9.950,9.997,10.039,9.898,27890
2021-5-6,10.092,9.925,10.118,9.893,32380
2021-5-7,10.417,10.120,10.440,10.100,53490
2021-5-10,10.382,10.482,10.746,10.311,69510
2021-5-11,10.460,10.385,10.567,10.303,36870
2021-5-12,10.446,10.557,10.616,10.386,39760
2021-5-13,10.342,10.412,10.491,10.226,52780
2021-5-14,10.241,10.287,10.376,10.147,40220
2021-5-17,10.373,10.273,10.387,10.223,22820
2021-5-18,10.405,10.403,10.524,10.373,37250
2021-5-19,10.002,10.373,10.411,9.981,51690
2021-5-20,10.048,10.038,10.179,9.972,33920
2021-5-21,9.882,9.988,10.048,9.848,43040
2021-5-24,9.947,9.856,9.993,9.852,24920
2021-5-25,9.918,10.001,10.087,9.897,29430
2021-5-26,9.979,9.944,10.011,9.902,21380
2021-5-27,10.221,9.968,10.300,9.923,32080
2021-5-28,10.258,10.294,10.342,10.121,42850
2021-6-1,10.245,10.311,10.363,10.213,42180
2021-6-2,10.148,10.248,10.283,10.088,24700
2021-6-3,9.789,10.128,10.177,9.764,51830
2021-6-4,9.955,9.836,9.994,9.776,38060
2021-6-7,9.901,9.968,9.999,9.844,19420
2021-6-8,9.964,9.954,10.044,9.826,37300
2021-6-9,9.979,10.011,10.038,9.884,26330
2021-6-10,9.890,9.980,9.989,9.787,28470
2021-6-11,10.004,9.888,10.119,9.867,35990
2021-6-14,9.972,10.041,10.052,9.924,15000
2021-6-15,9.570,9.952,9.957,9.512,72300
2021-6-16,9.667,9.562,9.685,9.490,37710
2021-6-17,9.316,9.446,9.562,9.159,42410
2021-6-18,9.146,9.220,9.299,9.111,36840
2021-6-21,9.180,9.135,9.208,9.013,35330
2021-6-22,9.301,9.186,9.334,9.155,36270
2021-6-23,9.483,9.278,9.516,9.268,29470
2021-6-24,9.419,9.461,9.478,9.333,24590
2021-6-25,9.414,9.458,9.500,9.369,22900
2021-6-28,9.388,9.415,9.463,9.343,16710
2021-6-29,9.335,9.392,9.400,9.237,28080
2021-6-30,9.375,9.345,9.495,9.322,30800
2021-7-1,9.322,9.412,9.448,9.266,29360
2021-7-2,9.377,9.275,9.399,9.268,22840
2021-7-5,9.511,9.380,9.535,9.329,27360
2021-7-6,9.312,9.509,9.633,9.270,44240
2021-7-7,9.455,9.302,9.538,9.299,40540
2021-7-8,9.323,9.436,9.467,9.279,32840
2021-7-9,9.520,9.356,9.559,9.322,32340
2021-7-12,9.409,9.497,9.542,9.367,24650
2021-7-13,9.413,9.478,9.502,9.323,28710
2021-7-14,9.343,9.382,9.421,9.324,24710
2021-7-15,9.487,9.335,9.504,9.312,34320
2021-7-16,9.427,9.438,9.507,9.419,20000
2021-7-19,9.222,9.403,9.415,9.132,49440
2021-7-20,9.336,9.205,9.352,9.205,31910
2021-7-21,9.347,9.348,9.383,9.260,26550
2021-7-22,9.442,9.357,9.482,9.349,28810
2021-7-23,9.516,9.479,9.628,9.453,42100
2021-7-26,9.810,9.654,9.859,9.561,58650
2021-7-27,9.759,9.832,9.921,9.658,47900
2021-7-28,9.686,9.799,9.831,9.656,33390
2021-7-29,9.824,9.699,9.840,9.667,30540
2021-7-30,9.728,9.842,9.881,9.669,35710
2021-8-2,9.701,9.713,9.804,9.614,27540
2021-8-3,9.542,9.643,9.690,9.485,34110
2021-8-4,9.466,9.564,9.602,9.440,29970
2021-8-5,9.492,9.469,9.511,9.412,23290
2021-8-6,9.468,9.479,9.604,9.452,26560
2021-8-9,9.370,9.400,9.472,9.274,34210
2021-8-10,9.521,9.362,9.553,9.362,41130
2021-8-11,9.512,9.515,9.546,9.442,24250
2021-8-12,9.468,9.542,9.608,9.452,26770
2021-8-13,9.570,9.483,9.619,9.459,26680
2021-8-16,9.442,9.493,9.553,9.397,31690
2021-8-17,9.248,9.464,9.494,9.223,69660
2021-8-18,9.043,9.253,9.336,9.024,62800
2021-8-19,8.894,9.054,9.108,8.739,77440
2021-8-20,9.037,8.898,9.073,8.892,51290
2021-8-23,9.274,9.069,9.292,9.058,46610
2021-8-24,9.376,9.225,9.427,9.205,37940
2021-8-25,9.356,9.326,9.421,9.316,27580
2021-8-26,9.300,9.347,9.378,9.270,25900
2021-8-27,9.410,9.295,9.457,9.277,37140
